연도,시도,공공형,사회서비스형,민간형
2020,서울 Seoul,60968,3439,16241
2020,부산 Busan,38993,4241,12234
2020,대구 Daegu,24011,2323,7763
2020,인천 Incheon,35835,5066,8697
2020,광주 Gwangju,21988,1295,5882
2020,대전 Daejeon,16222,1347,3784
2020,울산 Ulsan,10333,1284,3088
2020,세종 Sejong,2475,252,2023
2020,경기 Gyeonggi,70897,7451,19911
2020,강원 Gangwon,47449,1918,8315
2020,충북 Chungbuk,26902,1678,6321
2020,충남 Chungnam,31665,2561,6260
2020,전북 Jeonbuk,52652,3072,9604
2020,전남 Jeonnam,46526,2360,7263
2020,경북 Gyeongbuk,43495,3111,9519
2020,경남 Gyongnam,44782,2917,10319
2020,제주 Jeju,9618,1449,1806
2021,서울 Seoul,62704,5558,19907
2021,부산 Busan,44858,7030,13817
2021,대구 Daegu,25656,3196,6974
2021,인천 Incheon,39174,4111,7890
2021,광주 Gwangju,26166,1837,4499
2021,대전 Daejeon,17102,1578,4124
2021,울산 Ulsan,11382,1309,3172
2021,세종 Sejong,2740,380,2596
2021,경기 Gyeonggi,77779,10193,21633
2021,강원 Gangwon,50601,3324,9056
2021,충북 Chungbuk,28272,2205,6051
2021,충남 Chungnam,32586,4226,7157
2021,전북 Jeonbuk,57474,5041,8975
2021,전남 Jeonnam,48482,3266,7129
2021,경북 Gyeongbuk,46175,4448,9657
2021,경남 Gyongnam,45273,4163,13266
2021,제주 Jeju,9384,1193,1403
2022,서울 Seoul,63569,7435,21826
2022,부산 Busan,44496,6495,15866
2022,대구 Daegu,25198,4691,8654
2022,인천 Incheon,39933,5531,10886
2022,광주 Gwangju,26925,2293,5824
2022,대전 Daejeon,16817,2812,5368
2022,울산 Ulsan,11163,1674,4559
2022,세종 Sejong,2590,409,2647
2022,경기 Gyeonggi,78368,12089,23469
2022,강원 Gangwon,49633,5206,11408
2022,충북 Chungbuk,28542,2664,6579
2022,충남 Chungnam,32297,4833,8473
2022,전북 Jeonbuk,57615,7985,12230
2022,전남 Jeonnam,47594,3614,8146
2022,경북 Gyeongbuk,47137,5116,12210
2022,경남 Gyongnam,45134,5370,15199
2022,제주 Jeju,9380,1775,1808
2023,서울 Seoul,59108,10486,27735
2023,부산 Busan,42126,8315,17585
2023,대구 Daegu,24064,5642,9872
2023,인천 Incheon,37996,7464,12158
2023,광주 Gwangju,23370,3238,7168
2023,대전 Daejeon,15912,2952,6260
2023,울산 Ulsan,10976,2060,5241
2023,세종 Sejong,2611,697,1691
2023,경기 Gyeonggi,84006,15209,26430
2023,강원 Gangwon,50878,5686,10803
2023,충북 Chungbuk,29379,3212,7272
2023,충남 Chungnam,34753,5229,8817
2023,전북 Jeonbuk,58210,10295,13154
2023,전남 Jeonnam,51067,4136,9435
2023,경북 Gyeongbuk,49404,5815,13278
2023,경남 Gyongnam,46544,6161,16071
2023,제주 Jeju,9533,2380,2669
2024,서울 Seoul,65117,16427,33651
2024,부산 Busan,45438,13764,18733
2024,대구 Daegu,27845,9254,13159
2024,인천 Incheon,40066,11081,15405
2024,광주 Gwangju,24202,6163,8552
2024,대전 Daejeon,16872,5648,7393
2024,울산 Ulsan,11562,3391,6164
2024,세종 Sejong,2799,1025,1597
2024,경기 Gyeonggi,87193,26471,34226
2024,강원 Gangwon,53662,9377,11401
2024,충북 Chungbuk,30994,6380,9008
2024,충남 Chungnam,37058,9536,11386
2024,전북 Jeonbuk,61281,16399,14997
2024,전남 Jeonnam,53843,7360,9982
2024,경북 Gyeongbuk,52423,10861,15709
2024,경남 Gyongnam,49199,11329,19707
2024,제주 Jeju,10402,4783,3283
